,level_0,index,chcarbon,code,Land use,TopN2O,precipitation_level,component_name,carbon_e_c_nit,to_carb,AnnualHarv,annualChangeInCarbon,ISPAID Soil Type,soil_series,LAND USE TYPE,SU,DI,GS,yield, carcass weight ( animal ha-1 year-1),kg CO2-e kg steer-1 (Stanley et al 2018),Totak GHG kg CO2-e kg carcass weight/ha,SOC,Molecular_wight,C kg co2-,net emmision,soil_code,ut_rate,yieldBaseRates,ch4_kg_ha_yr,new_ghg,Unnamed: 0,changeincarbon2,co_eq,an_Year,SOC1,SOC2,Whole_repsiration,Top_respiration,TPC,flowNitrate,NConc,n20,N03Ncon,CumuAnnualLeach,NO3Total,MineralN,LeachNO3,runoff,drainaged_run_off,total_carbon,no2_eq,top_no2_eq,mean_rain,mean_maxt,mean_mint,total_radn,PAWC1,PAWC2,SW1,SW2,SW3,land_use,Depth,residue_fraction,SID,changeincarbon,SurfaceOrganicMatter.Wt,Year,Month,sub_surface_drain_no3,sub_surface_drain,CNRed,Catmos,M_AGB,MAIZE_AGB_NITROGEN,Maize_Yield,mYield,Toplayer_soil_Carbon,CumulativeAnnualLeaching,BD,N03Ncon2,N03Ncon3,Nloss,Year_in_soybean,soy_AGB,SoyYield,AGPKikuyu.HarvestedWt,SimpleGrazing.GrazedDM,SimpleGrazing.AmountDungWtReturned,SimpleGrazing.AmountDungNReturned,SimpleGrazing.AmountUrineNReturned,MicroClimate.RadiationInterception,Weather.Radn,NReturned,CReturned,DeadProportion,AGPKikuyu.CoverTotal,AGPKikuyu.CoverGreen,AGPKikuyu.CoverDead,AGPKikuyu.AboveGroundWt,AGPKikuyu.AboveGroundDeadWt,land_use_codes,precipitation_level_mm,SoilType,soil_type,carbon_eq,Precipitation (cm) 1,carbon_equivalent_forests,new_ghg_intensity,base_yield,energy_in_put,total_ghg_w_energy
0,0,1352,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Ackmore-Colo 5B,Ackmore,Permanent pasture,0.35,0.0163,200.0,0.99,398.7,3874.0,3822.0,1.765,3.666666667,1063.0,2759.0,K,0.55,1.404027777777778,2701.5162361111115,553.7698263888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,3500.1184182875068
1,1,1352,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Ackmore-Colo 5B,Ackmore,Permanent pasture,0.35,0.0163,200.0,0.99,398.7,3874.0,3822.0,1.765,3.666666667,1063.0,2759.0,K,0.55,1.404027777777778,2701.5162361111115,553.7698263888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,3500.1184182875068
2,2,1353,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Buckney 1636,Buckney,Permanent pasture,0.35,0.0163,200.0,0.87,398.7,3874.0,3356.0,1.765,3.666666667,1063.0,2293.0,B,0.55,1.232916666666667,2456.1257916666673,548.6792708333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,3249.637418287507
3,3,1353,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Buckney 1636,Buckney,Permanent pasture,0.35,0.0163,200.0,0.87,398.7,3874.0,3356.0,1.765,3.666666667,1063.0,2293.0,B,0.55,1.232916666666667,2456.1257916666673,548.6792708333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,3249.637418287507
4,4,1354,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Canisteo 507,Canisteo,Permanent pasture,0.35,0.0163,200.0,1.03,398.7,3874.0,4009.0,1.765,3.666666667,1063.0,2946.0,C,0.55,1.4727777777777782,2800.1106111111117,555.8151388888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,3600.758105787507
5,5,1354,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Canisteo 507,Canisteo,Permanent pasture,0.35,0.0163,200.0,1.03,398.7,3874.0,4009.0,1.765,3.666666667,1063.0,2946.0,C,0.55,1.4727777777777782,2800.1106111111117,555.8151388888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,3600.758105787507
6,6,1355,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Clarion 138B,Clarion,Permanent pasture,0.35,0.0163,200.0,1.51,398.7,3874.0,5864.0,1.765,3.666666667,1063.0,4801.0,A,0.55,2.1541666666666672,3777.290416666667,576.0864583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,4598.209230787506
7,7,1355,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Clarion 138B,Clarion,Permanent pasture,0.35,0.0163,200.0,1.51,398.7,3874.0,5864.0,1.765,3.666666667,1063.0,4801.0,A,0.55,2.1541666666666672,3777.290416666667,576.0864583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,4598.209230787506
8,8,1356,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Coland 135,Coland,Permanent pasture,0.35,0.0163,200.0,1.01,398.7,3874.0,3918.0,1.765,3.666666667,1063.0,2855.0,L,0.55,1.4406944444444447,2754.099902777778,554.8606597222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,3553.7929182875064
9,9,1356,3.953224921418901,6,Permanent pasture,0.4988598788516851,624.0,Tama,244.83235578750612,7.504228792753985,4197.772507396554,0.16676063983897743,Coland 135,Coland,Permanent pasture,0.35,0.0163,200.0,1.01,398.7,3874.0,3918.0,1.765,3.666666667,1063.0,2855.0,L,0.55,1.4406944444444447,2754.099902777778,554.8606597222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,,,3553.7929182875064
